name,bigChancesCreated,assists,accuratePasses,accuratePasses%,keyPasses,team,age,ageCategory
Ansu Fati,0,0,23,85.19,0,Barcelona,21,young
Ramón Terrats,0,0,184,84.79,3,Villarreal,23,young
Juan Cruz,0,0,14,82.35,1,Real Betis,31,veteran
Gonzalo García,0,0,4,57.14,0,Real Madrid,19,youth
Sokratis,0,0,1,100.0,0,Real Betis,35,veteran
Alberto Soro,0,0,3,100.0,1,Granada,24,young
José Pozo,0,0,8,100.0,0,Rayo Vallecano,27,ideal
Silvi Clúa,0,0,5,100.0,0,Girona FC,18,youth
César Tárrega,0,0,5,100.0,0,Valencia,21,young
Gorka Rivera,0,0,4,80.0,0,Getafe,19,youth
Ibrahima Kébé,0,0,5,62.5,0,Girona FC,23,young
Alberto Perea,0,0,6,100.0,1,Granada,32,veteran
José Mari,0,0,16,80.0,2,Cádiz,36,veteran
Daley Sinkgraven,0,0,76,92.68,0,Las Palmas,28,ideal
Óscar Melendo,0,0,243,83.51,7,Granada,26,ideal
Iker Muniain,0,0,149,86.13,5,Athletic Club,30,veteran
Unai Gómez,0,0,25,75.76,1,Athletic Club,20,youth
Carlos Dotor,0,0,132,79.04,1,Celta Vigo,22,young
Cenk Özkaçar,0,0,258,81.13,1,Valencia,23,young
César Montes,0,0,272,77.94,2,Almería,26,ideal
Santi Comesaña,0,0,197,90.37,2,Villarreal,27,ideal
Mariano Díaz,0,0,19,63.33,1,Sevilla,30,veteran
Mauro Arambarri,0,0,111,82.22,2,Getafe,28,ideal
Kaiky,0,0,201,83.06,0,Almería,19,youth
Jon Ander Olasagasti,0,0,16,72.73,1,Real Sociedad,23,young
Marc Bartra,0,0,101,87.07,0,Real Betis,32,veteran
Sergi Altimira,0,0,69,90.79,0,Real Betis,22,young
Andrei Rațiu,0,0,48,80.0,3,Rayo Vallecano,25,young
José Copete,0,0,145,80.11,2,Mallorca,24,young
Sory Kaba,0,1,84,71.79,4,Las Palmas,28,ideal
Amath Ndiaye,0,0,64,70.33,0,Mallorca,27,ideal
Rubén Sobrino,0,0,127,71.35,3,Cádiz,31,veteran
Mamadou Sylla,0,0,3,42.86,0,Deportivo Alavés,29,ideal
Çağlar Söyüncü,0,0,67,87.01,0,Atlético Madrid,27,ideal
Ibrahima Kone,0,0,33,67.35,2,Almería,24,young
Raúl García,0,0,19,59.38,0,Athletic Club,37,veteran
André Silva,0,0,8,72.73,0,Real Sociedad,28,ideal
Miguel de la Fuente,0,0,7,46.67,0,Deportivo Alavés,24,young
Shon Weissman,0,0,9,75.0,0,Granada,27,ideal
Adrià Altimira,0,0,186,84.55,2,Villarreal,22,young
